sample	Chrom	Start	End	value
TCGA-E2-A15D-01A	1	3301765	29732027	-0.0787
TCGA-E2-A15D-01A	1	29732096	29732145	-1.9942
TCGA-E2-A15D-01A	1	29733944	119984772	-0.0861
TCGA-E2-A15D-01A	1	146716041	150322682	0.7144
TCGA-E2-A15D-01A	1	150326859	151613299	0.6475
TCGA-E2-A15D-01A	1	151614064	158542020	0.7382
TCGA-E2-A15D-01A	1	158542634	158545295	0.3849
TCGA-E2-A15D-01A	1	158580102	163322572	0.7283
TCGA-E2-A15D-01A	1	163324544	163324738	-0.6188
TCGA-E2-A15D-01A	1	163325544	184335734	0.7183
TCGA-E2-A15D-01A	1	184335746	191686815	0.6897
TCGA-E2-A15D-01A	1	191689687	191691704	-0.8863
TCGA-E2-A15D-01A	1	191695184	200793746	0.6964
TCGA-E2-A15D-01A	1	200793914	247649129	0.732
TCGA-E2-A15D-01A	1	247650404	247650984	0.17800000000000002
TCGA-E2-A15D-01A	2	480597	10840591	-0.0732
TCGA-E2-A15D-01A	2	10841805	15196447	-0.1584
TCGA-E2-A15D-01A	2	15198787	17776980	-0.0774
TCGA-E2-A15D-01A	2	17777495	20623492	-0.152
TCGA-E2-A15D-01A	2	20623852	30731755	-0.0799
TCGA-E2-A15D-01A	2	30732220	30732597	-2.1606
TCGA-E2-A15D-01A	2	30734814	127274810	-0.0822
TCGA-E2-A15D-01A	2	127274951	183350149	-0.1005
TCGA-E2-A15D-01A	2	183353638	241537572	-0.0773
TCGA-E2-A15D-01A	3	2170634	197812401	-0.0812
TCGA-E2-A15D-01A	4	1059384	187842528	-0.0827
TCGA-E2-A15D-01A	5	914118	58894053	-0.0844
TCGA-E2-A15D-01A	5	58894581	58894626	-3.0058
TCGA-E2-A15D-01A	5	58895074	110939477	-0.0857
TCGA-E2-A15D-01A	5	110940444	110976811	-1.0723
TCGA-E2-A15D-01A	5	110981463	180934240	-0.0846
TCGA-E2-A15D-01A	6	1011760	1017664	-0.1657
TCGA-E2-A15D-01A	6	1018096	1019127	0.2022
TCGA-E2-A15D-01A	6	1019655	1022028	-0.3034
TCGA-E2-A15D-01A	6	1022467	1024671	-1.5374
TCGA-E2-A15D-01A	6	1026941	4240996	-0.263
TCGA-E2-A15D-01A	6	4241043	7554376	-0.3305
TCGA-E2-A15D-01A	6	7555016	10099692	-0.2565
TCGA-E2-A15D-01A	6	10099745	12710055	0.0033
TCGA-E2-A15D-01A	6	12717924	19374020	0.0383
TCGA-E2-A15D-01A	6	19374847	26184703	0.0018
TCGA-E2-A15D-01A	6	26186897	26466954	-0.3331
TCGA-E2-A15D-01A	6	26471347	26937049	-0.0058
TCGA-E2-A15D-01A	6	26937129	27751985	-0.2668
TCGA-E2-A15D-01A	6	27755881	38023347	0.0406
TCGA-E2-A15D-01A	6	38024783	46960083	-0.0834
TCGA-E2-A15D-01A	6	46963821	53645907	-0.1206
TCGA-E2-A15D-01A	6	53646217	70608368	-0.0712
TCGA-E2-A15D-01A	6	70608563	91085215	-0.0901
TCGA-E2-A15D-01A	6	91085587	117491234	-0.0626
TCGA-E2-A15D-01A	6	117494696	133920659	0.0519
TCGA-E2-A15D-01A	6	133926744	135566970	0.0002
TCGA-E2-A15D-01A	6	135567022	170596889	-0.2506
TCGA-E2-A15D-01A	7	664936	91634837	0.2477
TCGA-E2-A15D-01A	7	91638848	91640172	-2.1081
TCGA-E2-A15D-01A	7	91643029	150826456	0.237
TCGA-E2-A15D-01A	7	150827593	158592540	0.2753
TCGA-E2-A15D-01A	8	667625	8522925	0.2696
TCGA-E2-A15D-01A	8	8522950	8522961	-0.9612
TCGA-E2-A15D-01A	8	8523020	30985211	0.2681
TCGA-E2-A15D-01A	8	30989367	103678365	0.2455
TCGA-E2-A15D-01A	8	103678698	103678712	-1.4743
TCGA-E2-A15D-01A	8	103681457	130246983	0.2448
TCGA-E2-A15D-01A	8	130249225	144182542	0.2667
TCGA-E2-A15D-01A	9	789794	138044505	-0.0864
TCGA-E2-A15D-01A	10	366509	133411599	-0.0872
TCGA-E2-A15D-01A	11	456012	134272740	-0.086
TCGA-E2-A15D-01A	12	780472	132605822	-0.0828
TCGA-E2-A15D-01A	13	18874255	114226675	-0.0848
TCGA-E2-A15D-01A	14	20033191	95662616	-0.0817
TCGA-E2-A15D-01A	14	95663114	95664618	-1.4673
TCGA-E2-A15D-01A	14	95665095	105533894	-0.0712
TCGA-E2-A15D-01A	15	23437561	101344124	0.2487
TCGA-E2-A15D-01A	16	603333	46470502	0.5257
TCGA-E2-A15D-01A	16	46473753	77589019	-0.5412
TCGA-E2-A15D-01A	16	77589363	77589577	-2.3961
TCGA-E2-A15D-01A	16	77589787	80598713	-0.5498
TCGA-E2-A15D-01A	16	80602287	87375660	-0.6028
TCGA-E2-A15D-01A	16	87375682	89317317	-0.5418
TCGA-E2-A15D-01A	17	1074619	82959812	-0.0543
TCGA-E2-A15D-01A	18	326691	3016152	0.2578
TCGA-E2-A15D-01A	18	3019792	3031564	-0.6752
TCGA-E2-A15D-01A	18	3039188	51924097	0.2534
TCGA-E2-A15D-01A	18	51927087	51927110	-1.0689
TCGA-E2-A15D-01A	18	51928078	79349796	0.2595
TCGA-E2-A15D-01A	19	283868	58370362	-0.0829
TCGA-E2-A15D-01A	20	472817	63588502	-0.0877
TCGA-E2-A15D-01A	21	13974127	23923855	-0.0766
TCGA-E2-A15D-01A	21	23924193	23927374	-1.5411
TCGA-E2-A15D-01A	21	23927443	46262057	-0.0854
TCGA-E2-A15D-01A	22	16934932	48940621	-0.0807
TCGA-E2-A15D-01A	X	3236359	64553284	-0.0001
TCGA-E2-A15D-01A	X	64553756	64555073	-1.6433
TCGA-E2-A15D-01A	X	64556269	155677414	0.0003
TCGA-E9-A1RG-01A	1	3301765	21048317	-0.2201
TCGA-E9-A1RG-01A	1	21050421	22115532	0.136
TCGA-E9-A1RG-01A	1	22116490	38628986	-0.2125
TCGA-E9-A1RG-01A	1	38633346	39259563	0.1348
TCGA-E9-A1RG-01A	1	39262719	54291517	-0.217
TCGA-E9-A1RG-01A	1	54291728	54292240	-1.5317
TCGA-E9-A1RG-01A	1	54292628	106008235	-0.2072
TCGA-E9-A1RG-01A	1	106008748	109735520	0.1573
TCGA-E9-A1RG-01A	1	109738403	119984738	-0.2145
TCGA-E9-A1RG-01A	1	119984772	165005570	0.4014
TCGA-E9-A1RG-01A	1	165010578	166013314	0.6738
TCGA-E9-A1RG-01A	1	166014377	179218277	0.4097
TCGA-E9-A1RG-01A	1	179218602	179218873	-0.6984
TCGA-E9-A1RG-01A	1	179219209	187772189	0.4067
TCGA-E9-A1RG-01A	1	187772437	192019703	0.4453
TCGA-E9-A1RG-01A	1	192021476	192942978	0.409
TCGA-E9-A1RG-01A	1	192947185	193058704	0.6488
TCGA-E9-A1RG-01A	1	193058867	201389551	0.4199
TCGA-E9-A1RG-01A	1	201390569	201967037	0.7865
TCGA-E9-A1RG-01A	1	201970406	202437580	0.934
TCGA-E9-A1RG-01A	1	202441055	212053220	0.4023
TCGA-E9-A1RG-01A	1	212053945	212572822	0.8148
TCGA-E9-A1RG-01A	1	212579312	213456045	0.3966
TCGA-E9-A1RG-01A	1	213456192	222165146	0.4273
TCGA-E9-A1RG-01A	1	222165417	247650984	0.4032
TCGA-E9-A1RG-01A	2	480597	5140929	-0.2248
TCGA-E9-A1RG-01A	2	5151003	5405998	0.152
TCGA-E9-A1RG-01A	2	5406225	24423344	-0.2186
TCGA-E9-A1RG-01A	2	24425990	24995150	0.16399999999999998
TCGA-E9-A1RG-01A	2	25016395	25166355	-0.2365
TCGA-E9-A1RG-01A	2	25167831	31859642	0.1386
TCGA-E9-A1RG-01A	2	31861384	33275781	-0.195
TCGA-E9-A1RG-01A	2	33276531	34559275	-0.1413
TCGA-E9-A1RG-01A	2	34566263	56265216	-0.2124
TCGA-E9-A1RG-01A	2	56278057	57714307	-0.1583
TCGA-E9-A1RG-01A	2	57714400	57714462	-1.3253
TCGA-E9-A1RG-01A	2	57714886	58430212	-0.1763
TCGA-E9-A1RG-01A	2	58434934	75957690	-0.2195
TCGA-E9-A1RG-01A	2	75958915	75989803	0.1561
TCGA-E9-A1RG-01A	2	75990181	76137597	0.4119
TCGA-E9-A1RG-01A	2	76144328	77294195	-0.1969
TCGA-E9-A1RG-01A	2	77299819	77326244	0.5469
TCGA-E9-A1RG-01A	2	77328780	84283967	-0.2063
TCGA-E9-A1RG-01A	2	84292539	84308063	0.7048
TCGA-E9-A1RG-01A	2	84309836	84309954	-0.2285
TCGA-E9-A1RG-01A	2	84311904	84339538	0.6612
TCGA-E9-A1RG-01A	2	84341900	85540743	-0.2093
TCGA-E9-A1RG-01A	2	85542852	85858022	0.6267
TCGA-E9-A1RG-01A	2	85863363	94675975	0.16
TCGA-E9-A1RG-01A	2	94680914	110790058	-0.2149
TCGA-E9-A1RG-01A	2	110790410	110791578	-1.7804
TCGA-E9-A1RG-01A	2	110795938	111911258	-0.1982
TCGA-E9-A1RG-01A	2	111911993	112017932	-0.3735
TCGA-E9-A1RG-01A	2	112018173	112503228	-0.1856
TCGA-E9-A1RG-01A	2	112511126	112913621	0.1344
TCGA-E9-A1RG-01A	2	112917851	123972142	-0.2143
TCGA-E9-A1RG-01A	2	123978032	154855424	-0.7252
TCGA-E9-A1RG-01A	2	154858214	155958220	-0.6151
TCGA-E9-A1RG-01A	2	155958927	157963624	-0.7117
TCGA-E9-A1RG-01A	2	157964348	157966875	-3.7174
TCGA-E9-A1RG-01A	2	157967171	163256297	-0.7111
TCGA-E9-A1RG-01A	2	163257107	177756982	0.1564
TCGA-E9-A1RG-01A	2	177765704	180169709	0.4236
TCGA-E9-A1RG-01A	2	180175044	182302654	0.1813
TCGA-E9-A1RG-01A	2	182310206	185175384	0.4335
TCGA-E9-A1RG-01A	2	185298004	198630754	0.1627
TCGA-E9-A1RG-01A	2	198638112	201139552	0.4114
TCGA-E9-A1RG-01A	2	201140472	210728764	0.1516
TCGA-E9-A1RG-01A	2	210728779	211547856	0.1988
TCGA-E9-A1RG-01A	2	211549869	211620370	0.3582
TCGA-E9-A1RG-01A	2	211621371	215086907	0.1866
TCGA-E9-A1RG-01A	2	215087352	241537572	0.154
TCGA-E9-A1RG-01A	3	2170634	9051206	0.1679
TCGA-E9-A1RG-01A	3	9051430	19958303	0.1322
TCGA-E9-A1RG-01A	3	19961680	22214651	0.17300000000000001
TCGA-E9-A1RG-01A	3	22276782	25927421	-0.2128
TCGA-E9-A1RG-01A	3	25933418	28397976	0.1525
TCGA-E9-A1RG-01A	3	28406661	28487437	-0.2724
TCGA-E9-A1RG-01A	3	28488698	29145957	0.1683
TCGA-E9-A1RG-01A	3	29147652	29173769	-0.3016
TCGA-E9-A1RG-01A	3	29176626	30707448	0.1456
TCGA-E9-A1RG-01A	3	30710706	34362675	-0.21899999999999997
TCGA-E9-A1RG-01A	3	34362766	34657944	0.1459
TCGA-E9-A1RG-01A	3	34659330	39773165	-0.2229
TCGA-E9-A1RG-01A	3	39775922	39776003	-1.5802
TCGA-E9-A1RG-01A	3	39776466	46264050	-0.2304
